date,balance
2007-03,1906023000000.0
2007-04,1921810666666.6667
2007-05,1937598333333.3333
2007-06,1953386000000.0
2007-07,1969173666666.6667
2007-08,1984961333333.3333
2007-09,2000749000000.0
2007-10,2016536666666.6667
2007-11,2032324333333.3333
2007-12,2048112000000.0
2008-01,2063977666666.6667
2008-02,2079843333333.3333
2008-03,2095709000000.0
2008-04,2111574666666.6667
2008-05,2127440333333.3333
2008-06,2143306000000.0
2008-07,2159171666666.6667
2008-08,2175037333333.3333
2008-09,2190903000000.0
2008-10,2206768666666.6665
2008-11,2222634333333.3335
2008-12,2238500000000.0
2009-01,2253513166666.6665
2009-02,2268526333333.3335
2009-03,2283539500000.0
2009-04,2298552666666.6665
2009-05,2313565833333.3335
2009-06,2328579000000.0
2009-07,2343592166666.6665
2009-08,2358605333333.3335
2009-09,2373618500000.0
2009-10,2388631666666.6665
2009-11,2403644833333.3335
2009-12,2418658000000.0
2010-01,2428798833333.3335
2010-02,2438939666666.6665
2010-03,2449080500000.0
2010-04,2459221333333.3335
2010-05,2469362166666.6665
2010-06,2479503000000.0
2010-07,2489643833333.3335
2010-08,2499784666666.6665
2010-09,2509925500000.0
2010-10,2520066333333.3335
2010-11,2530207166666.6665
2010-12,2540348000000.0
2011-01,2546064833333.3335
2011-02,2551781666666.6665
2011-03,2557498500000.0
2011-04,2563215333333.3335
2011-05,2568932166666.6665
2011-06,2574649000000.0
2011-07,2580365833333.3335
2011-08,2586082666666.6665
2011-09,2591799500000.0
2011-10,2597516333333.3335
2011-11,2603233166666.6665
2011-12,2608950000000.0
2012-01,2614697916666.6665
2012-02,2620445833333.3335
2012-03,2626193750000.0
2012-04,2631941666666.6665
2012-05,2637689583333.3335
2012-06,2643437500000.0
2012-07,2649185416666.6665
2012-08,2654933333333.3335
2012-09,2660681250000.0
2012-10,2666429166666.6665
2012-11,2672177083333.3335
2012-12,2677925000000.0
2013-01,2682459083333.3335
2013-02,2686993166666.6665
2013-03,2691527250000.0
2013-04,2696061333333.3335
2013-05,2700595416666.6665
2013-06,2705129500000.0
2013-07,2709663583333.3335
2013-08,2714197666666.6665
2013-09,2718731750000.0
2013-10,2723265833333.3335
2013-11,2727799916666.6665
2013-12,2732334000000.0
2014-01,2735008750000.0
2014-02,2737683500000.0
2014-03,2740358250000.0
2014-04,2743033000000.0
2014-05,2745707750000.0
2014-06,2748382500000.0
2014-07,2751057250000.0
2014-08,2753732000000.0
2014-09,2756406750000.0
2014-10,2759081500000.0
2014-11,2761756250000.0
2014-12,2764431000000.0
2015-01,2766518083333.3335
2015-02,2768605166666.6665
2015-03,2770692250000.0
2015-04,2772779333333.3335
2015-05,2774866416666.6665
2015-06,2776953500000.0
2015-07,2779040583333.3335
2015-08,2781127666666.6665
2015-09,2783214750000.0
2015-10,2785301833333.3335
2015-11,2787388916666.6665
2015-12,2789476000000.0
2016-01,2791395500000.0
2016-02,2793315000000.0
2016-03,2795234500000.0
2016-04,2797154000000.0
2016-05,2799073500000.0
2016-06,2800993000000.0
2016-07,2802912500000.0
2016-08,2804832000000.0
2016-09,2806751500000.0
2016-10,2808671000000.0
2016-11,2810590500000.0
2016-12,2812510000000.0
2017-01,2815441416666.6665
2017-02,2818372833333.3335
2017-03,2821304250000.0
2017-04,2824235666666.6665
2017-05,2827167083333.3335
2017-06,2830098500000.0
2017-07,2833029916666.6665
2017-08,2835961333333.3335
2017-09,2838892750000.0
2017-10,2841824166666.6665
2017-11,2844755583333.3335
2017-12,2847687000000.0
2018-01,2851362166666.6665
2018-02,2855037333333.3335
2018-03,2858712500000.0
2018-04,2862387666666.6665
2018-05,2866062833333.3335
2018-06,2869738000000.0
2018-07,2873413166666.6665
2018-08,2877088333333.3335
2018-09,2880763500000.0
2018-10,2884438666666.6665
2018-11,2888113833333.3335
2018-12,2891789000000.0
2019-01,2892050666666.6665
2019-02,2892312333333.3335
2019-03,2892574000000.0
2019-04,2892835666666.6665
2019-05,2893097333333.3335
2019-06,2893359000000.0
2019-07,2893620666666.6665
2019-08,2893882333333.3335
2019-09,2894144000000.0
2019-10,2894405666666.6665
2019-11,2894667333333.3335
2019-12,2894929000000.0
2020-01,2895135333333.3335
2020-02,2895341666666.6665
2020-03,2895548000000.0
2020-04,2895754333333.3335
2020-05,2895960666666.6665
2020-06,2896167000000.0
2020-07,2896373333333.3335
2020-08,2896579666666.6665
2020-09,2896786000000.0
2020-10,2896992333333.3335
2020-11,2897198666666.6665
2020-12,2897405000000.0
2021-01,2898311750000.0
2021-02,2899218500000.0
2021-03,2900125250000.0
2021-04,2901032000000.0
2021-05,2901938750000.0
2021-06,2902845500000.0
2021-07,2903752250000.0
2021-08,2904659000000.0
2021-09,2905565750000.0
2021-10,2906472500000.0
2021-11,2907379250000.0
2021-12,2908286000000.0
2022-01,2903598000000.0
2022-02,2898910000000.0
2022-03,2894222000000.0
2022-04,2889534000000.0
2022-05,2884846000000.0
2022-06,2880158000000.0
2022-07,2875470000000.0
2022-08,2870782000000.0
2022-09,2866094000000.0
2022-10,2861406000000.0
2022-11,2856718000000.0
2022-12,2852030000000.0
2023-01,2850184750000.0
2023-02,2848339500000.0
2023-03,2846494250000.0
2023-04,2844649000000.0
2023-05,2842803750000.0
2023-06,2840958500000.0
2023-07,2839113250000.0
2023-08,2837268000000.0
2023-09,2835422750000.0
2023-10,2833577500000.0
2023-11,2831732250000.0
2023-12,2829887000000.0
2024-01,2826435000000.0
2024-02,2822983000000.0
2024-03,2819531000000.0
2024-04,2816079000000.0
2024-05,2812627000000.0
2024-06,2809175000000.0
2024-07,2805723000000.0
2024-08,2802271000000.0
2024-09,2798819000000.0
2024-10,2795367000000.0
2024-11,2791915000000.0
2024-12,2788463000000.0
